carat,cut,color,clarity,depth,table,price,x,y,z,volume,cut_encoded,color_encoded,clarity_encoded,segment
1.0,Premium,D,SI1,62.2,58.0,5096,6.28,6.23,3.89,152.193916,3,6,2,0
1.0,Good,D,SI1,60.4,64.0,5096,6.39,6.3,3.83,154.18430999999998,1,6,2,1
1.0,Ideal,G,SI1,63.0,55.0,5096,6.42,6.41,4.04,166.254888,4,3,2,0
1.2,Premium,I,SI1,61.4,57.0,5098,6.87,6.8,4.2,196.2072,3,1,2,0
1.09,Premium,G,VS2,62.1,57.0,5098,6.6,6.55,4.08,176.3784,3,3,3,0
1.22,Ideal,H,SI2,61.0,57.0,5099,6.89,6.95,4.22,202.07681,4,2,1,0
1.01,Ideal,I,VS2,62.0,54.0,5099,6.43,6.47,4.0,166.4084,4,1,3,0
1.02,Premium,H,VS2,61.8,58.0,5100,6.49,6.43,3.99,166.505493,3,2,3,0
1.31,Very Good,J,SI2,61.8,59.0,5100,6.96,7.02,4.32,211.071744,2,0,1,0
1.13,Premium,H,SI1,62.3,58.0,5101,6.67,6.68,4.16,185.351296,3,2,2,0
0.95,Very Good,D,SI1,63.7,55.0,5101,6.2,6.24,3.96,153.20448000000002,2,6,2,1
1.05,Ideal,I,VS1,61.5,55.0,5101,6.56,6.61,4.05,175.61448000000001,4,1,4,0
1.03,Premium,E,SI1,61.3,60.0,5101,6.53,6.51,4.0,170.0412,3,5,2,0
0.91,Premium,E,VS1,60.6,58.0,5101,6.32,6.25,3.81,150.495,3,5,4,0
1.04,Premium,H,VVS1,60.4,58.0,5102,6.58,6.53,3.96,170.15090400000003,3,2,6,0
0.9,Very Good,G,VVS2,59.8,60.0,5102,6.23,6.28,3.74,146.32525600000002,2,3,5,0
0.9,Very Good,E,VS1,60.7,61.0,5102,6.21,6.24,3.78,146.47651199999999,2,5,4,1
1.04,Ideal,H,SI1,62.3,57.0,5102,6.45,6.48,4.03,168.43788000000004,4,2,2,0
1.11,Ideal,H,SI1,62.0,56.0,5102,6.65,6.61,4.11,180.66121500000003,4,2,2,0
1.11,Premium,H,SI1,62.1,58.0,5102,6.6,6.57,4.09,177.35058,3,2,2,0
1.07,Ideal,I,VS1,62.2,58.0,5103,6.52,6.57,4.07,174.344148,4,1,4,0
1.36,Premium,H,SI2,60.1,56.0,5103,7.23,7.18,4.38,227.371932,3,2,1,0
1.03,Premium,I,VS1,60.4,59.0,5104,6.57,6.51,3.95,168.944265,3,1,4,0
1.05,Ideal,D,SI1,60.0,55.0,5104,6.66,6.61,3.98,175.20994800000003,4,6,2,0
1.04,Ideal,I,VS2,61.5,57.0,5105,6.49,6.52,4.0,169.2592,4,1,3,0
1.03,Premium,G,SI1,60.5,60.0,5105,6.52,6.48,3.93,166.040928,3,3,2,0
1.03,Ideal,D,SI2,61.8,54.0,5105,6.52,6.46,4.01,168.897992,4,6,1,0
1.03,Premium,H,SI1,59.2,60.0,5105,6.62,6.58,3.91,170.318036,3,2,2,0
1.08,Ideal,F,SI1,62.9,57.0,5106,6.54,6.53,4.11,175.52248200000002,4,4,2,0
1.34,Fair,G,SI2,64.7,55.0,5106,7.03,6.97,4.53,221.965923,0,3,1,1
1.01,Very Good,F,SI1,63.2,56.0,5107,6.32,6.37,4.01,161.436184,2,4,2,1
1.01,Very Good,F,SI1,62.0,56.0,5107,6.41,6.47,3.99,165.47607299999999,2,4,2,1
1.12,Premium,D,SI2,58.2,60.0,5107,6.9,6.81,3.99,187.48611,3,6,1,0
1.16,Ideal,I,SI1,62.4,57.0,5107,6.71,6.75,4.2,190.2285,4,1,2,0
1.01,Ideal,G,SI1,62.9,56.0,5107,6.39,6.43,4.03,165.583431,4,3,2,0
1.26,Premium,J,VS2,62.5,58.0,5107,6.92,6.9,4.32,206.27136000000004,3,0,3,0
1.2,Premium,J,VS1,59.1,61.0,5107,7.0,6.94,4.12,200.14960000000002,3,0,4,0
1.2,Ideal,I,SI1,62.5,57.0,5107,6.77,6.71,4.21,191.24640699999998,4,1,2,0
1.2,Very Good,I,VVS2,61.7,63.0,5107,6.72,6.7,4.13,185.94912,2,1,5,0
1.5,Good,J,SI2,63.7,58.0,5107,7.19,7.13,4.56,233.767032,1,0,1,0
1.07,Ideal,H,VS2,61.8,56.0,5108,6.52,6.55,4.04,172.53223999999997,4,2,3,0
1.05,Ideal,D,SI2,61.9,56.0,5110,6.5,6.53,4.03,171.05335000000002,4,6,1,0
1.25,Good,J,SI1,63.6,57.0,5110,6.86,6.81,4.35,203.21721,1,0,2,0
0.95,Very Good,G,VS1,61.7,58.0,5111,6.26,6.34,3.89,154.38787599999998,2,3,4,0
1.21,Very Good,I,SI2,62.0,56.0,5111,6.79,6.86,4.23,197.030862,2,1,1,0
1.03,Ideal,G,SI1,60.1,59.0,5111,6.6,6.57,3.96,171.71352000000002,4,3,2,0
1.08,Premium,H,VS1,62.5,60.0,5111,6.55,6.51,4.08,173.97323999999998,3,2,4,0
1.17,Ideal,H,SI2,62.3,57.0,5111,6.78,6.74,4.21,192.385212,4,2,1,0
0.99,Very Good,F,SI1,62.5,58.0,5112,6.36,6.38,3.98,161.495664,2,4,2,1
0.87,Ideal,E,SI1,61.5,57.0,5112,6.12,6.15,3.77,141.89526,4,5,2,0
1.06,Premium,G,SI1,62.2,57.0,5113,6.53,6.47,4.04,170.686364,3,3,2,0
1.0,Very Good,E,SI1,63.3,57.0,5113,6.28,6.32,3.99,158.36150400000002,2,5,2,1
1.01,Good,G,SI1,63.7,60.0,5113,6.32,6.28,4.01,159.15529600000002,1,3,2,1
1.01,Very Good,G,SI1,63.2,59.0,5113,6.36,6.32,4.01,161.18275200000002,2,3,2,0
1.06,Premium,G,SI1,61.5,59.0,5113,6.57,6.53,4.03,172.89546300000003,3,3,2,0
1.26,Premium,J,SI1,61.7,58.0,5114,6.91,6.99,4.29,207.21086100000002,3,0,2,0
1.2,Very Good,H,SI1,63.3,57.0,5114,6.75,6.7,4.26,192.6585,2,2,2,0
1.02,Ideal,F,SI2,62.9,58.0,5115,6.34,6.42,4.01,163.21822799999998,4,4,1,0
1.2,Very Good,G,SI2,62.6,60.0,5116,6.68,6.74,4.2,189.09744,2,3,1,0
1.2,Very Good,G,SI2,59.7,59.0,5116,6.89,6.94,4.13,197.482558,2,3,1,0
1.06,Ideal,I,VS2,61.4,55.0,5116,6.59,6.61,4.05,176.41759499999998,4,1,3,0
0.9,Premium,E,VS1,62.1,59.0,5116,6.15,6.09,3.8,142.3233,3,5,4,0
1.01,Very Good,G,VS2,62.8,58.0,5119,6.35,6.42,4.01,163.47566999999998,2,3,3,0
1.0,Very Good,F,SI1,60.5,60.0,5119,6.38,6.45,3.88,159.66588000000002,2,4,2,1
1.12,Premium,I,VS2,61.9,58.0,5119,6.68,6.63,4.12,182.46820799999998,3,1,3,0
1.13,Ideal,E,SI2,61.8,57.0,5120,6.68,6.65,4.12,183.01864,4,5,1,0
1.01,Premium,H,VS2,62.1,57.0,5120,6.45,6.39,3.99,164.449845,3,2,3,0
1.15,Premium,I,VS2,62.6,56.0,5120,6.74,6.67,4.2,188.81436000000002,3,1,3,0
1.15,Premium,F,SI2,61.1,57.0,5120,6.82,6.77,4.15,191.61131,3,4,1,0
1.0,Very Good,H,VS2,62.9,57.0,5121,6.31,6.35,3.98,159.47262999999998,2,2,3,0
1.27,Premium,J,SI1,61.8,58.0,5121,6.97,6.91,4.29,206.617983,3,0,2,0
0.9,Very Good,F,SI1,62.3,57.0,5122,6.13,6.16,3.83,144.62386400000003,2,4,2,1
1.0,Very Good,F,SI1,63.5,56.0,5122,6.28,6.35,4.01,159.91078,2,4,2,1
1.01,Very Good,D,SI1,62.2,58.0,5122,6.36,6.4,3.97,161.59488000000005,2,6,2,1
0.9,Ideal,F,SI1,61.0,56.0,5122,6.17,6.19,3.77,143.984971,4,4,2,0
1.01,Fair,D,SI1,66.2,56.0,5122,6.05,6.1,4.02,148.35809999999995,0,6,2,1
1.15,Premium,I,SI2,61.3,57.3,5123,6.71,6.78,4.13,187.889394,3,1,1,0
0.9,Very Good,D,SI1,62.3,53.0,5123,6.2,6.22,3.87,149.24268,2,6,2,1
1.07,Premium,H,SI1,60.0,60.0,5123,6.65,6.61,3.98,174.94687000000002,3,2,2,0
1.07,Premium,H,SI1,61.5,57.0,5123,6.63,6.55,4.05,175.87732499999998,3,2,2,0
1.07,Premium,H,SI1,60.4,59.0,5123,6.65,6.62,4.01,176.53223,3,2,2,0
1.07,Ideal,H,SI1,60.9,57.0,5123,6.68,6.61,4.05,178.82694,4,2,2,0
1.21,Ideal,I,SI1,62.4,55.0,5124,6.78,6.81,4.24,195.768432,4,1,2,0
1.16,Ideal,J,SI1,61.8,55.0,5124,6.75,6.78,4.18,191.2977,4,0,2,0
1.3,Good,J,SI2,62.9,56.0,5124,6.9,6.94,4.35,208.3041,1,0,1,0
1.22,Ideal,I,SI1,62.5,56.0,5124,6.82,6.79,4.25,196.80815,4,1,2,0
1.09,Ideal,H,SI1,62.3,55.0,5125,6.58,6.61,4.11,178.759518,4,2,2,0
1.09,Ideal,H,SI1,61.1,57.0,5125,6.6,6.69,4.1,181.0314,4,2,2,0
1.09,Ideal,H,SI1,62.5,56.0,5125,6.53,6.58,4.1,176.16634,4,2,2,0
1.09,Ideal,H,SI1,61.1,57.0,5125,6.62,6.71,4.07,180.79021400000002,4,2,2,0
1.15,Ideal,J,VS2,60.7,55.0,5125,6.77,6.83,4.13,190.967483,4,0,3,0
1.04,Ideal,E,SI2,61.9,57.0,5125,6.48,6.51,4.02,169.582896,4,5,1,0
1.24,Ideal,J,SI1,61.9,56.0,5125,6.95,6.88,4.28,204.65248000000003,4,0,2,0
1.01,Ideal,H,SI1,62.6,55.0,5126,6.41,6.44,4.02,165.947208,4,2,2,0
0.93,Ideal,G,SI1,60.1,57.0,5126,6.33,6.41,3.83,155.403399,4,3,2,0
1.05,Ideal,G,SI2,62.7,57.0,5127,6.45,6.51,4.06,170.47736999999998,4,3,1,0
1.11,Ideal,G,SI1,62.0,57.0,5127,6.69,6.61,4.12,182.19010800000004,4,3,2,0
1.09,Premium,E,SI2,60.9,59.0,5127,6.75,6.61,4.07,181.59322500000002,3,5,1,0
1.09,Ideal,E,SI2,61.6,55.0,5127,6.64,6.6,4.08,178.80192,4,5,1,0
1.09,Ideal,E,SI2,61.9,55.0,5127,6.64,6.6,4.1,179.67839999999998,4,5,1,0
1.09,Premium,E,SI2,61.4,58.0,5127,6.67,6.63,4.08,180.426168,3,5,1,0
1.24,Premium,J,VS2,62.0,58.0,5128,6.87,6.91,4.27,202.70415899999998,3,0,3,0
1.05,Ideal,H,SI1,62.4,57.0,5128,6.49,6.52,4.06,171.79808799999998,4,2,2,0
1.03,Premium,H,SI1,62.5,59.0,5129,6.46,6.41,4.02,166.462572,3,2,2,0
1.09,Very Good,H,SI1,60.6,60.0,5131,6.61,6.68,4.03,177.943844,2,2,2,0
1.02,Very Good,H,SI1,59.9,58.0,5131,6.57,6.66,3.96,173.274552,2,2,2,0
1.01,Premium,G,VS2,61.2,59.0,5131,6.43,6.37,3.92,160.559672,3,3,3,0
1.01,Fair,F,SI1,65.0,61.0,5131,6.29,6.23,4.07,159.48986900000003,0,4,2,1
1.1,Good,H,SI1,63.6,58.0,5131,6.55,6.5,4.15,176.68625,1,2,2,1
1.01,Good,E,SI1,63.6,60.0,5132,6.32,6.38,4.04,162.89926400000002,1,5,2,1
1.01,Good,E,SI1,63.7,58.0,5132,6.32,6.36,4.04,162.38860800000003,1,5,2,1
1.01,Very Good,D,SI1,61.5,54.0,5132,6.4,6.47,3.96,163.97568,2,6,2,1
1.01,Good,E,SI1,63.4,60.0,5132,6.3,6.34,4.01,160.16742,1,5,2,1
1.01,Very Good,E,SI1,58.2,59.0,5132,6.54,6.59,3.82,164.636652,2,5,2,1
1.01,Very Good,E,SI1,62.8,60.0,5132,6.38,6.39,4.01,163.480482,2,5,2,1
1.01,Ideal,E,SI1,61.8,56.0,5132,6.46,6.51,4.01,168.638946,4,5,2,0
1.13,Premium,D,SI2,60.9,59.0,5133,6.65,6.72,4.07,181.88016000000002,3,6,1,0
1.11,Premium,D,SI2,61.3,60.0,5134,6.6,6.54,4.03,173.95092,3,6,1,0
1.05,Premium,D,SI2,58.9,58.0,5134,6.74,6.67,3.95,177.57541000000003,3,6,1,0
1.03,Premium,H,SI1,59.5,58.0,5134,6.64,6.58,3.93,171.706416,3,2,2,0
1.11,Premium,D,SI2,59.9,57.0,5134,6.74,6.72,4.03,182.529984,3,6,1,0
1.14,Premium,F,SI1,62.5,59.0,5135,6.65,6.67,4.16,184.51888,3,4,2,0
0.9,Very Good,G,VS1,61.4,57.0,5135,6.2,6.24,3.82,147.78816,2,3,4,0
1.21,Very Good,J,VS2,62.2,59.0,5136,6.79,6.84,4.24,196.920864,2,0,3,0
1.16,Premium,D,SI2,62.5,60.0,5136,6.7,6.64,4.17,185.51496,3,6,1,0
1.04,Very Good,F,SI1,63.4,59.0,5137,6.44,6.4,4.07,167.74912000000003,2,4,2,1
1.08,Premium,D,SI2,62.1,58.0,5138,6.62,6.59,4.1,178.86577999999997,3,6,1,0
1.01,Premium,G,SI1,62.3,59.0,5139,6.38,6.3,3.95,158.7663,3,3,2,0
1.15,Premium,H,SI1,60.9,57.0,5139,6.8,6.72,4.12,188.26752,3,2,2,0
1.0,Premium,H,VS2,59.7,59.0,5139,6.57,6.52,3.91,167.490324,3,2,3,0
1.0,Ideal,H,VS2,62.5,56.0,5139,6.41,6.33,3.98,161.489694,4,2,3,0
1.33,Fair,F,SI2,64.5,58.0,5139,6.97,6.86,4.46,213.251332,0,4,1,1
1.05,Premium,H,SI1,60.2,62.0,5139,6.57,6.52,3.94,168.77541599999998,3,2,2,0
1.14,Premium,G,SI2,60.9,56.0,5139,6.8,6.73,4.12,188.54768,3,3,1,0
1.2,Very Good,J,VS2,59.9,60.0,5140,6.98,6.95,4.17,202.29087,2,0,3,0
1.01,Ideal,F,SI1,62.3,55.0,5140,6.37,6.44,3.99,163.68097200000003,4,4,2,0
1.21,Premium,H,SI2,60.6,56.0,5140,6.92,6.84,4.17,197.37777599999998,3,2,1,0
1.3,Premium,J,SI2,61.1,61.0,5140,7.0,6.95,4.26,207.249,3,0,1,0
1.5,Very Good,J,I1,63.3,58.0,5141,7.27,7.23,4.59,241.260039,2,0,0,0
1.2,Good,G,SI2,63.6,54.0,5141,6.75,6.71,4.28,193.8519,1,3,1,1
1.2,Premium,I,SI2,62.7,58.0,5141,6.82,6.76,4.26,196.399632,3,1,1,0
0.9,Ideal,F,VS2,61.6,57.0,5141,6.21,6.16,3.81,145.746216,4,4,3,0
1.08,Ideal,H,SI2,61.4,57.0,5141,6.66,6.6,4.07,178.90091999999999,4,2,1,0
1.08,Ideal,I,SI1,62.6,54.0,5141,6.56,6.51,4.09,174.66590399999998,4,1,2,0
1.01,Ideal,G,SI1,61.8,55.0,5141,6.46,6.43,3.98,165.32044399999998,4,3,2,0
1.06,Premium,F,SI1,61.0,58.0,5142,6.6,6.65,4.04,177.31560000000002,3,4,2,0
1.06,Premium,F,SI1,62.1,58.0,5142,6.5,6.52,4.04,171.21519999999998,3,4,2,0
1.06,Very Good,F,SI1,61.2,57.0,5142,6.58,6.68,4.06,178.454864,2,4,2,0
1.2,Very Good,J,SI1,61.2,55.0,5142,6.84,6.88,4.2,197.64864,2,0,2,0
1.07,Very Good,H,SI1,59.2,61.0,5143,6.65,6.67,3.94,174.76067,2,2,2,0
1.09,Ideal,F,SI2,61.6,55.0,5143,6.59,6.65,4.08,178.79988,4,4,1,0
1.03,Ideal,G,SI1,60.3,58.0,5143,6.57,6.62,3.98,173.103732,4,3,2,0
1.06,Ideal,H,SI1,62.2,57.0,5143,6.56,6.49,4.06,172.85206399999998,4,2,2,0
1.01,Fair,F,SI1,57.9,57.0,5144,6.53,6.57,3.79,162.598959,0,4,2,1
0.91,Very Good,E,VS2,61.1,58.0,5145,6.2,6.28,3.81,148.34616,2,5,3,1
1.04,Ideal,F,SI1,61.2,56.0,5145,6.54,6.6,4.02,173.51927999999995,4,4,2,0
1.14,Ideal,H,SI1,61.6,57.0,5146,6.68,6.73,4.13,185.66993200000002,4,2,2,0
1.24,Good,H,SI1,62.0,65.0,5146,6.88,6.84,4.25,200.0016,1,2,2,0
1.01,Ideal,D,SI1,62.4,54.0,5147,6.52,6.38,4.03,167.638328,4,6,2,0
1.03,Ideal,G,SI1,61.1,57.0,5147,6.54,6.58,4.01,172.563132,4,3,2,0
1.13,Very Good,E,SI2,63.4,59.0,5147,6.53,6.59,4.16,179.016032,2,5,1,1
1.06,Ideal,E,SI2,60.9,57.0,5147,6.58,6.62,4.02,175.109592,4,5,1,0
1.01,Good,D,SI1,63.9,60.0,5147,6.32,6.29,4.03,160.203784,1,6,2,1
1.01,Good,D,SI1,63.9,62.0,5147,6.31,6.25,4.01,158.144375,1,6,2,1
1.01,Good,D,SI1,63.9,61.0,5147,6.31,6.28,4.02,159.29973599999997,1,6,2,1
1.01,Premium,H,VS1,61.6,57.0,5147,6.47,6.38,3.96,163.463256,3,2,4,0
1.01,Premium,D,SI1,59.8,54.0,5147,6.6,6.5,3.93,168.597,3,6,2,0
1.01,Premium,D,SI1,59.2,61.0,5147,6.4,6.34,3.77,152.97152,3,6,2,0
1.01,Premium,D,SI1,58.1,61.0,5147,6.66,6.59,3.85,168.97419000000002,3,6,2,0
1.01,Fair,D,SI1,64.4,61.0,5147,6.17,6.13,3.96,149.77551599999998,0,6,2,1
1.0,Good,G,VS2,63.8,59.0,5148,6.26,6.34,4.02,159.54736799999995,1,3,3,1
0.9,Very Good,G,VS1,61.5,56.0,5148,6.2,6.23,3.82,147.55132,2,3,4,0
1.14,Very Good,I,VS1,63.3,56.0,5148,6.68,6.6,4.2,185.16959999999997,2,1,4,0
1.14,Premium,I,VS1,60.3,57.0,5148,6.83,6.81,4.11,191.165553,3,1,4,0
1.13,Ideal,I,SI1,61.9,57.0,5149,6.68,6.66,4.13,183.738744,4,1,2,0
1.09,Ideal,H,SI1,61.4,57.0,5149,6.66,6.6,4.07,178.90091999999999,4,2,2,0
1.09,Premium,H,SI1,60.5,60.0,5149,6.72,6.67,4.05,181.53071999999997,3,2,2,0
1.09,Ideal,H,SI1,62.3,57.0,5149,6.58,6.54,4.09,176.005788,4,2,2,0
0.9,Very Good,E,VS1,61.1,59.0,5151,6.14,6.2,3.77,143.51636,2,5,4,1
0.83,Ideal,E,VS1,62.2,56.0,5151,5.99,6.03,3.74,135.087678,4,5,4,3
1.26,Premium,I,SI2,60.1,59.0,5151,7.0,6.91,4.18,202.1866,3,1,1,0
1.0,Premium,F,SI1,59.8,59.0,5151,6.55,6.49,3.9,165.78705,3,4,2,0
1.0,Premium,F,SI1,61.8,58.0,5151,6.44,6.37,3.96,162.450288,3,4,2,0
1.04,Very Good,F,SI1,59.7,59.0,5152,6.67,6.56,3.95,172.83303999999998,2,4,2,0
1.0,Premium,F,SI1,62.5,59.0,5152,6.39,6.34,3.98,161.240148,3,4,2,0
1.06,Premium,H,VS2,61.1,59.0,5152,6.58,6.51,4.0,171.3432,3,2,3,0
1.15,Ideal,J,VS1,61.5,55.0,5152,6.81,6.76,4.17,191.96845199999998,4,0,4,0
1.11,Ideal,I,VS1,63.0,56.0,5152,6.61,6.57,4.15,180.22495500000002,4,1,4,0
1.0,Premium,F,SI1,62.1,59.0,5152,6.39,6.36,3.96,160.935984,3,4,2,0
1.11,Premium,E,SI2,62.6,59.0,5152,6.71,6.65,4.18,186.51787000000002,3,5,1,0
1.0,Premium,G,SI1,60.5,61.0,5152,6.51,6.45,3.92,164.59884,3,3,2,0
1.27,Ideal,I,SI2,62.1,56.0,5154,6.92,6.96,4.31,207.58339199999998,4,1,1,0
1.18,Ideal,I,SI1,62.1,56.0,5154,6.79,6.77,4.21,193.526543,4,1,2,0
0.73,Ideal,F,VVS1,61.9,56.0,5154,5.75,5.79,3.57,118.85422499999999,4,4,6,3
0.34,Ideal,G,VS2,62.2,55.0,596,4.47,4.5,2.79,56.12085,4,3,3,3
0.4,Good,I,SI1,63.9,57.0,596,4.66,4.7,2.99,65.48698,1,1,2,1
0.34,Ideal,G,VS2,61.0,57.0,596,4.48,4.5,2.74,55.23840000000001,4,3,3,3
0.34,Premium,G,VS2,61.8,58.0,596,4.47,4.5,2.77,55.71854999999999,3,3,3,3
0.34,Ideal,G,VS2,62.1,57.0,596,4.46,4.5,2.78,55.794599999999996,4,3,3,3
0.34,Premium,G,VS2,61.6,60.0,596,4.47,4.49,2.76,55.39402799999999,3,3,3,3
0.34,Ideal,G,VS2,62.7,55.0,596,4.48,4.49,2.81,56.523712,4,3,3,3
0.4,Very Good,I,SI1,59.8,57.0,596,4.8,4.83,2.88,66.76992,2,1,2,1
0.34,Very Good,E,SI1,62.9,55.0,596,4.47,4.5,2.82,56.72429999999999,2,5,2,1
0.34,Premium,G,VS2,60.2,58.0,596,4.52,4.55,2.73,56.145179999999996,3,3,3,3
0.34,Very Good,E,SI1,63.0,55.0,596,4.42,4.47,2.8,55.32071999999999,2,5,2,1
0.4,Good,G,SI2,63.2,56.0,596,4.7,4.73,2.98,66.24838000000001,1,3,1,1
0.4,Good,I,SI1,63.2,54.0,596,4.67,4.69,2.96,64.830808,1,1,2,1
0.34,Ideal,G,VS2,62.1,55.0,596,4.46,4.49,2.78,55.670612,4,3,3,3
0.4,Good,G,SI2,63.4,59.0,596,4.64,4.66,2.95,63.78608,1,3,1,1
0.34,Premium,H,VS1,62.2,58.0,596,4.43,4.48,2.77,54.974528,3,2,4,3
0.34,Good,E,SI1,63.3,56.0,596,4.41,4.44,2.8,54.82512,1,5,2,1
0.34,Very Good,E,SI1,59.0,60.0,596,4.56,4.62,2.71,57.092112,2,5,2,1
0.34,Ideal,G,VS2,62.0,54.0,596,4.47,4.5,2.78,55.91969999999999,4,3,3,3
0.4,Ideal,I,SI1,61.6,56.0,596,4.68,4.74,2.9,64.33127999999999,4,1,2,3
0.34,Good,I,VVS2,63.1,56.0,596,4.43,4.47,2.81,55.643901,1,1,5,1
0.34,Ideal,H,VS1,62.3,55.0,596,4.45,4.48,2.78,55.42208000000001,4,2,4,3
0.34,Premium,H,VS1,62.1,58.0,596,4.46,4.49,2.78,55.670612,3,2,4,3
0.34,Premium,G,VS2,61.6,58.0,596,4.45,4.51,2.76,55.39182,3,3,3,3
0.34,Very Good,G,VS2,60.3,54.0,596,4.53,4.56,2.74,56.59963200000001,2,3,3,1
0.34,Premium,I,VVS2,61.5,60.0,596,4.45,4.49,2.75,54.94637500000001,3,1,5,3
0.26,Very Good,F,VVS2,60.0,59.0,597,4.11,4.15,2.48,42.30012000000001,2,4,5,3
0.26,Very Good,F,VVS2,63.2,54.0,597,4.05,4.08,2.57,42.46668,2,4,5,3
0.26,Very Good,F,VVS2,59.9,59.0,597,4.12,4.2,2.49,43.08696000000001,2,4,5,3
0.26,Very Good,E,VVS2,63.0,58.0,597,4.08,4.11,2.58,43.263504000000005,2,5,5,3
0.73,Ideal,F,VVS1,61.4,56.0,5154,5.8,5.81,3.56,119.96487999999998,4,4,6,3
1.01,Ideal,F,SI2,62.4,54.0,5154,6.41,6.44,4.01,165.534404,4,4,1,0
1.01,Ideal,F,SI2,61.7,56.0,5154,6.43,6.47,3.98,165.576358,4,4,1,0
1.08,Ideal,H,SI1,59.7,60.0,5154,6.71,6.69,4.0,179.55960000000002,4,2,2,0
1.04,Premium,D,SI2,59.8,58.0,5154,6.61,6.56,3.94,170.844704,3,6,1,0
1.04,Premium,H,SI1,61.6,58.0,5154,6.53,6.48,4.01,169.680744,3,2,2,0
1.0,Premium,G,SI1,61.9,62.0,5154,6.22,6.18,3.84,147.60806399999998,3,3,2,0
1.2,Premium,G,SI1,62.2,58.0,5154,6.8,6.7,4.2,191.352,3,3,2,0
1.08,Very Good,H,VS2,62.2,57.0,5155,6.5,6.55,4.06,172.85449999999997,2,2,3,0
1.02,Very Good,F,SI1,60.7,59.0,5155,6.49,6.55,3.96,168.33762000000002,2,4,2,1
0.94,Ideal,D,SI2,62.2,56.0,5155,6.24,6.27,3.89,152.195472,4,6,1,0
1.25,Premium,J,VS1,60.9,59.0,5156,6.9,6.92,4.21,201.01908000000003,3,0,4,0
1.05,Ideal,D,SI2,62.1,56.0,5156,6.48,6.54,4.04,171.211968,4,6,1,0
1.37,Premium,J,SI2,60.7,60.0,5156,7.19,7.07,4.33,220.108189,3,0,1,0
1.62,Premium,J,SI2,61.8,59.0,5157,7.48,7.44,4.61,256.55203200000005,3,0,1,0
1.01,Ideal,H,SI1,61.8,54.0,5158,6.48,6.44,3.99,166.50748800000005,4,2,2,0
1.09,Ideal,I,VS2,62.0,57.0,5158,6.64,6.58,4.1,179.13391999999996,4,1,3,0
1.23,Ideal,J,SI2,62.4,58.0,5158,6.79,6.86,4.26,198.42824399999998,4,0,1,0
1.29,Ideal,D,I1,61.3,56.0,5158,7.05,6.99,4.3,211.90185,4,6,0,0
0.94,Ideal,F,SI2,60.6,54.0,5159,6.39,6.34,3.86,156.378636,4,4,1,0
1.06,Ideal,D,SI2,62.3,55.0,5159,6.5,6.54,4.06,172.59059999999997,4,6,1,0
1.06,Ideal,G,SI1,62.0,56.0,5159,6.52,6.55,4.05,172.95929999999998,4,3,2,0
1.22,Very Good,J,VS2,60.8,56.0,5160,6.95,6.91,4.21,202.18314500000002,2,0,3,0
0.9,Very Good,F,VS2,62.7,58.0,5160,6.12,6.19,3.86,146.227608,2,4,3,1
0.9,Ideal,F,VS2,62.3,57.0,5160,6.18,6.21,3.86,148.138308,4,4,3,0
1.0,Fair,G,VS2,64.5,58.0,5161,6.26,6.2,4.02,156.02423999999996,0,3,3,1
1.44,Premium,E,I1,61.1,62.0,5161,7.23,7.15,4.39,226.93885500000002,3,5,0,0
1.05,Premium,H,SI1,59.3,58.0,5161,6.65,6.61,3.93,172.74904500000002,3,2,2,0
1.28,Premium,H,SI2,62.5,62.0,5161,6.89,6.84,4.3,202.64867999999996,3,2,1,0
1.23,Ideal,F,SI2,61.9,56.0,5163,6.89,6.93,4.28,204.360156,4,4,1,0
1.06,Very Good,G,SI1,63.4,58.0,5163,6.44,6.47,4.09,170.417212,2,3,2,0
1.17,Very Good,E,SI2,62.5,59.0,5163,6.65,6.7,4.17,185.79435000000004,2,5,1,1
1.18,Ideal,I,SI2,61.9,54.0,5163,6.77,6.84,4.21,194.95162799999997,4,1,1,0
1.04,Ideal,E,SI2,61.6,55.0,5163,6.51,6.54,4.02,171.153108,4,5,1,0
1.09,Ideal,D,SI2,62.1,56.0,5164,6.56,6.59,4.08,176.380032,4,6,1,0
1.09,Premium,D,SI2,61.2,60.0,5164,6.6,6.64,4.05,177.48719999999997,3,6,1,0
1.08,Ideal,F,SI2,61.3,55.0,5164,6.59,6.62,4.05,176.68448999999998,4,4,1,0
1.13,Ideal,G,SI2,62.9,54.0,5164,6.72,6.67,4.21,188.70230399999997,4,3,1,0
1.16,Premium,F,SI2,62.1,59.0,5164,6.76,6.71,4.18,189.603128,3,4,1,0
1.16,Premium,F,SI2,62.4,59.0,5164,6.72,6.64,4.17,186.06873599999997,3,4,1,0
1.01,Very Good,I,VS1,61.7,59.0,5165,6.45,6.51,4.0,167.958,2,1,4,0
1.09,Very Good,E,SI2,62.2,58.0,5165,6.54,6.61,4.09,176.80824600000003,2,5,1,1
1.13,Ideal,I,VS2,62.2,55.0,5165,6.69,6.67,4.15,185.18254500000003,4,1,3,0
1.22,Premium,I,SI2,62.9,56.0,5165,6.84,6.79,4.29,199.243044,3,1,1,0
1.1,Premium,D,SI1,60.4,59.0,5166,6.66,6.69,4.03,179.55826200000004,3,6,2,0
